icd_code,version,freq
839.05,I09DX,0.001115423019706602
806.06,I09DX,8.303041943484438e-4
836.3,I09DX,7.396387938161425e-4
952.10,I09DX,5.797813770881375e-4
780.39,I09DX,5.523431637691516e-4
294.10,I09DX,4.509410710685514e-4
831.03,I09DX,3.280655940313535e-4
867.6,I09DX,3.2567966243839824e-4
427.1,I09DX,1.670152115068709e-4
942.05,I09DX,2.6245247522508282e-5
