icd_code,version,freq
BW28ZZZ,I10PR,0.17148043702387117
BR20ZZZ,I10PR,0.1499073983364356
BW03ZZZ,I10PR,0.09885985659571093
BW40ZZZ,I10PR,0.054815169878568194
0BH17EZ,I10PR,0.052115843048344136
B020ZZZ,I10PR,0.04710788910192714
BR27ZZZ,I10PR,0.0452879281952239
BR0CZZZ,I10PR,0.04372512933909936
BN25ZZZ,I10PR,0.0428720044411478
30233N1,I10PR,0.03276979273088604
0T9B70Z,I10PR,0.032293955467230205
4A02X4Z,I10PR,0.03119883000013995
BW251ZZ,I10PR,0.02414116038981335
BW211ZZ,I10PR,0.019417192653445856
BW21ZZZ,I10PR,0.01693129283118507
BR30ZZZ,I10PR,0.014513619675404345
BW201ZZ,I10PR,0.012059792217728203
0W9B30Z,I10PR,0.011408431649709132
B54DZZZ,I10PR,0.010801389258207027
BR2CYZZ,I10PR,0.009964592109498552
5A1955Z,I10PR,0.009705097523313694
BW20YZZ,I10PR,0.0095721429937628
30233K1,I10PR,0.008828647269300566
30233R1,I10PR,0.008505007953946417
B030ZZZ,I10PR,0.008131219123059913
2W3LX1Z,I10PR,0.004936228476527694
4A13XR1,I10PR,0.004833596909856829
0QSK04Z,I10PR,0.003910495943720581
BP0BZZZ,I10PR,0.003765878736138907
059Y3ZX,I10PR,0.00361134825223107
BR07ZZZ,I10PR,0.003262634179110744
BW2810Z,I10PR,0.0020456337265988365
0QSJXZZ,I10PR,0.0018613634137125104
B32GZZZ,I10PR,8.30965809693085e-4
2W39XYZ,I10PR,8.27467006283851e-4
0HQ6XZZ,I10PR,7.679873483268723e-4
02JA0ZZ,I10PR,7.096739581729715e-4
2W24X4Z,I10PR,5.627242149851418e-4
4A033R1,I10PR,4.536781753973474e-4
009430Z,I10PR,4.1927327520654604e-4
B244ZZZ,I10PR,1.7668957216631913e-4
2W6PXZZ,I10PR,1.417015380739787e-4
0QPG04Z,I10PR,1.2245811932319148e-4
0KQK0ZZ,I10PR,8.747008523085105e-5
0HRLX73,I10PR,8.222188011699999e-5
0PCJ0ZZ,I10PR,6.58941308739078e-5
02Q60ZZ,I10PR,4.256877481234751e-5
